rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
dow=Fri + hour=15:00,131,-1.227454,0.4351,-1.9731,68,-1.691309,0.4559,-1.3680,-1.958730,-115.0090
dow=Mon,832,0.479323,0.5156,1.5561,416,0.873590,0.5072,1.2395,0.606169,363.4136
