minute,n,mean_bps,hit_rate,t_stat,total_bps
10:00,252,1.705226,0.5595,1.0348,429.7169
10:30,252,0.806551,0.5794,0.5972,203.2508
11:00,252,0.131071,0.5397,0.1042,33.0300
11:30,252,-0.649085,0.4921,-0.5739,-163.5694
12:00,252,0.942739,0.5595,0.9019,237.5701
12:30,250,0.238119,0.5080,0.2697,59.5299
13:00,249,-0.858593,0.4900,-0.8805,-213.7897
13:30,249,0.898448,0.5823,1.0009,223.7135
14:00,249,0.755985,0.5301,0.8759,188.2402
14:30,248,-0.216576,0.5161,-0.2465,-53.7109
15:00,249,-0.394028,0.5060,-0.4568,-98.1130
15:30,249,-0.228608,0.4618,-0.2557,-56.9235
16:00,121,-0.509519,0.4959,-0.4164,-61.6518
