minute,n,mean_bps,hit_rate,t_stat,total_bps
10:00,252,1.651602,0.5714,1.0030,416.2038
10:30,252,0.972080,0.5873,0.7232,244.9643
11:00,252,0.037562,0.5357,0.0300,9.4656
11:30,252,-0.630586,0.4921,-0.5618,-158.9076
12:00,252,0.944050,0.5437,0.9093,237.9006
12:30,252,0.096946,0.4921,0.1098,24.4304
13:00,252,-0.577004,0.4881,-0.5996,-145.4050
13:30,252,0.665855,0.5873,0.7491,167.7954
14:00,252,0.722899,0.5278,0.8503,182.1707
14:30,252,-0.154673,0.5397,-0.1788,-38.9776
15:00,252,-0.314370,0.5198,-0.3686,-79.2212
15:30,252,-0.301630,0.4643,-0.3421,-76.0107
16:00,251,0.010466,0.4980,0.0105,2.6270
