rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
minute=13:30,160,0.674324,0.5437,1.5831,89,0.836285,0.6067,1.5855,0.739157,74.4293
dow=Mon,2482,0.168080,0.5068,1.6346,1239,0.303806,0.5061,1.3797,0.206678,376.4156
minute=10:50,162,-1.690621,0.4012,-3.1376,89,-1.134110,0.4494,-1.3119,-1.231238,-100.9358
bucket_30m=12:00 + dow=Tue,204,0.612453,0.5490,1.7017,114,0.793419,0.5351,1.2690,0.696291,90.4498
minute=12:10,163,-0.662777,0.4172,-1.5785,89,-0.861062,0.5056,-1.0749,-0.958190,-76.6346
bucket_30m=09:30 + dow=Mon,160,1.439788,0.5312,2.1574,80,1.487182,0.5125,1.0715,1.390055,118.9746
