minute,n,mean_bps,hit_rate,t_stat,total_bps
09:35,252,0.307113,0.4841,0.4324,77.3926
09:40,252,0.392016,0.5119,0.7245,98.7880
09:45,252,-0.246294,0.5000,-0.3524,-62.0660
09:50,252,0.129876,0.5159,0.1870,32.7288
09:55,252,1.033243,0.5198,1.6855,260.3773
10:00,252,0.089271,0.5079,0.1290,22.4963
10:05,252,0.055970,0.5079,0.0980,14.1045
10:10,252,0.301238,0.4921,0.5855,75.9121
10:15,252,0.358561,0.5238,0.6151,90.3573
10:20,252,1.042575,0.5476,2.1188,262.7290
10:25,252,-0.988971,0.4325,-1.7832,-249.2206
10:30,252,0.037177,0.5397,0.0703,9.3686
10:35,252,0.041847,0.5198,0.0699,10.5453
10:40,252,0.726126,0.5159,1.4916,182.9838
10:45,252,0.004961,0.5159,0.0099,1.2501
10:50,251,-1.493293,0.4183,-3.2262,-374.8165
10:55,252,0.641328,0.5357,1.1959,161.6147
11:00,252,0.204177,0.5278,0.3619,51.4526
11:05,252,-0.411412,0.4762,-0.8419,-103.6757
11:10,252,-0.009605,0.4841,-0.0221,-2.4203
11:15,251,0.438657,0.5259,0.9275,110.1028
11:20,249,-0.345400,0.5060,-0.6695,-86.0046
11:25,252,-0.070587,0.5198,-0.1568,-17.7880
11:30,252,-0.253109,0.4762,-0.5648,-63.7836
11:35,251,0.057454,0.4861,0.1389,14.4211
11:40,252,0.021892,0.4881,0.0513,5.5167
11:45,251,0.608889,0.5498,1.4436,152.8311
11:50,251,0.280089,0.5259,0.7540,70.3024
11:55,252,0.572362,0.5873,1.3037,144.2353
12:00,252,-0.594192,0.4444,-1.5462,-149.7364
12:05,251,0.545775,0.5578,1.5268,136.9894
12:10,252,-0.732807,0.4484,-1.8728,-184.6672
12:15,251,0.413136,0.5339,1.1294,103.6973
12:20,252,-0.097893,0.5040,-0.2453,-24.6690
12:25,252,0.589007,0.5476,1.4556,148.4299
12:30,250,-0.472382,0.5160,-1.1080,-118.0954
12:35,250,-0.290816,0.4760,-0.6574,-72.7039
12:40,252,0.171029,0.4524,0.3361,43.0994
12:45,252,-0.107553,0.5317,-0.2692,-27.1034
12:50,250,-0.228937,0.5160,-0.5724,-57.2344
12:55,250,0.129698,0.5520,0.3287,32.4244
13:00,249,-0.546257,0.4498,-1.4972,-136.0181
13:05,247,-0.304460,0.5425,-0.6957,-75.2017
13:10,245,0.459545,0.5061,1.3402,112.5885
13:15,249,-0.188903,0.5060,-0.4984,-47.0368
13:20,248,-0.556355,0.4234,-1.5591,-137.9761
13:25,249,0.759110,0.5663,2.0952,189.0183
13:30,249,0.732213,0.5663,2.2072,182.3212
13:35,249,0.333954,0.5060,0.8366,83.1545
13:40,247,0.258414,0.5385,0.6363,63.8283
13:45,248,-0.364417,0.4919,-1.0104,-90.3753
13:50,249,0.013919,0.5221,0.0343,3.4659
13:55,248,0.016181,0.4798,0.0419,4.0129
14:00,249,0.498610,0.5261,1.4140,124.1539
14:05,248,-0.384374,0.5282,-0.9866,-95.3248
14:10,248,-0.338378,0.4677,-1.0111,-83.9177
14:15,249,-0.082711,0.5141,-0.2163,-20.5951
14:20,247,0.280354,0.5385,0.7893,69.2474
14:25,249,0.164962,0.5181,0.5290,41.0755
14:30,248,0.165470,0.5242,0.3771,41.0364
14:35,249,0.452640,0.5261,1.2193,112.7074
14:40,248,-0.620034,0.4476,-1.5303,-153.7684
14:45,249,-0.394376,0.4859,-1.1840,-98.1996
14:50,249,0.072492,0.5141,0.2449,18.0505
14:55,249,-0.011816,0.5100,-0.0298,-2.9421
15:00,249,0.083561,0.4980,0.2160,20.8066
15:05,249,0.533630,0.5462,1.4105,132.8738
15:10,249,0.443413,0.5181,1.1926,110.4098
15:15,249,-0.409692,0.4578,-1.2068,-102.0133
15:20,249,0.352973,0.5221,0.8743,87.8902
15:25,249,-0.803658,0.4418,-2.4087,-200.1108
15:30,249,-0.345274,0.4538,-1.0993,-85.9732
15:35,249,-0.290141,0.4779,-0.7974,-72.2450
15:40,249,0.668529,0.5502,1.8953,166.4637
15:45,249,-0.240808,0.4418,-0.6022,-59.9612
15:50,249,0.316628,0.5221,0.7550,78.8404
15:55,249,-0.305030,0.4900,-0.6961,-75.9525
16:00,121,-0.518095,0.4711,-0.9437,-62.6895
