rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
minute=13:30,163,1.101795,0.5890,1.7619,89,2.062489,0.5955,2.3788,1.884209,183.5616
day_of_month=14,195,1.229491,0.5641,1.5707,78,1.831800,0.6154,2.3784,1.653519,142.8804
dow=Tue + midday=True,612,0.497962,0.5359,1.5454,342,1.148450,0.5292,2.0851,0.970169,392.7699
first_trading_day_month=True + midday=True,144,0.949128,0.5972,1.5457,90,1.338086,0.5444,1.6887,1.159805,120.4277
