rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
quarter=Q2 + week_of_month=2,190,1.250612,0.5737,2.2755,190,0.946076,0.6105,2.0365,0.452544,179.7544
hour=10:00 + quarter=Q2,138,1.918888,0.5580,2.2222,126,0.945194,0.6111,1.0553,0.451662,119.0944
dow=Thu + quarter=Q2,190,1.535752,0.5895,1.9118,152,0.743874,0.5461,1.0137,0.250343,113.0689
hour=15:00 + quarter=Q2,138,1.612105,0.6232,2.2320,120,0.595528,0.5417,0.8424,0.101997,71.4634
dow=Fri,266,-1.011135,0.4925,-1.7162,152,-0.022404,0.5461,-0.0373,-0.515936,-3.4054
