minute,n,mean_bps,hit_rate,t_stat,total_bps
09:40,252,0.699129,0.5040,0.7941,176.1806
09:50,252,-0.116417,0.5000,-0.1231,-29.3372
10:00,252,1.122514,0.5198,1.1940,282.8736
10:10,252,0.357209,0.5357,0.4755,90.0165
10:20,252,1.401136,0.5437,1.9272,353.0863
10:30,252,-0.951794,0.5040,-1.3425,-239.8520
10:40,252,0.767973,0.5198,0.9990,193.5291
10:50,251,-1.495324,0.4701,-2.2023,-375.3264
11:00,252,0.852489,0.5675,1.1426,214.8273
11:10,252,-0.421016,0.4841,-0.6867,-106.0961
11:20,249,0.109934,0.5020,0.1655,27.3736
11:30,252,-0.336694,0.4841,-0.5150,-84.8469
11:40,252,0.079118,0.4960,0.1252,19.9378
11:50,251,0.866836,0.5139,1.6114,217.5757
12:00,252,0.000225,0.5278,0.0004,0.0566
12:10,252,-0.189198,0.5317,-0.3871,-47.6778
12:20,252,0.313604,0.5317,0.5816,79.0282
12:30,250,0.100077,0.5440,0.1652,25.0193
12:40,252,-0.096386,0.4286,-0.1581,-24.2893
12:50,250,-0.352814,0.5200,-0.6884,-88.2034
13:00,249,-0.394088,0.5060,-0.7660,-98.1280
13:10,245,0.101857,0.5061,0.1884,24.9549
13:20,248,-0.681738,0.4798,-1.3872,-169.0710
13:30,249,1.477227,0.5823,2.8504,367.8295
13:40,247,0.620547,0.5425,1.0789,153.2750
13:50,249,-0.374304,0.5341,-0.6926,-93.2017
14:00,249,0.514726,0.4859,1.0413,128.1668
14:10,248,-0.717705,0.5040,-1.4782,-177.9908
14:20,247,0.185865,0.5263,0.3479,45.9087
14:30,248,0.347959,0.5081,0.6526,86.2937
14:40,248,-0.189833,0.4879,-0.3460,-47.0786
14:50,249,-0.308520,0.4659,-0.7466,-76.8214
15:00,249,0.071745,0.4739,0.1295,17.8645
15:10,249,0.977042,0.5703,1.8338,243.2836
15:20,249,-0.056719,0.4980,-0.1038,-14.1231
15:30,249,-1.148931,0.4056,-2.6135,-286.0839
15:40,249,0.378388,0.5502,0.7639,94.2187
15:50,249,0.075820,0.4900,0.1341,18.8792
16:00,121,-0.280316,0.4876,-0.4011,-33.9183
