minute,n,mean_bps,hit_rate,t_stat,total_bps
09:40,252,0.660368,0.5079,0.7446,166.4128
09:50,252,-0.129682,0.5040,-0.1364,-32.6799
10:00,252,1.120916,0.5357,1.1971,282.4709
10:10,252,0.395894,0.5357,0.5243,99.7652
10:20,252,1.328707,0.5516,1.8220,334.8342
10:30,252,-0.752520,0.5278,-1.0589,-189.6352
10:40,252,0.560406,0.5159,0.7278,141.2222
10:50,252,-1.429484,0.4683,-2.1327,-360.2299
11:00,252,0.906640,0.5595,1.2123,228.4733
11:10,252,-0.470128,0.5000,-0.7664,-118.4722
11:20,252,-0.002615,0.4921,-0.0040,-0.6591
11:30,252,-0.157843,0.4921,-0.2413,-39.7764
11:40,252,0.013173,0.4802,0.0210,3.3195
11:50,252,0.939582,0.5437,1.7374,236.7747
12:00,252,-0.008705,0.5198,-0.0147,-2.1937
12:10,252,-0.260044,0.5079,-0.5304,-65.5310
12:20,252,0.399195,0.5278,0.7452,100.5971
12:30,252,-0.042205,0.5397,-0.0701,-10.6357
12:40,252,-0.015956,0.4325,-0.0265,-4.0209
12:50,252,-0.241172,0.5278,-0.4773,-60.7753
13:00,252,-0.319876,0.5040,-0.6197,-80.6088
13:10,252,-0.023974,0.4960,-0.0451,-6.0415
13:20,252,-0.751259,0.4603,-1.5671,-189.3172
13:30,252,1.441088,0.5913,2.8416,363.1541
13:40,252,0.599894,0.5278,1.0349,151.1733
13:50,252,-0.335154,0.5278,-0.6305,-84.4588
14:00,252,0.458160,0.4762,0.9409,115.4562
14:10,251,-0.731185,0.4980,-1.5080,-183.5275
14:20,252,0.251969,0.5675,0.4765,63.4961
14:30,252,0.321642,0.5159,0.6027,81.0538
14:40,251,-0.173948,0.4940,-0.3160,-43.6609
14:50,252,-0.249768,0.4603,-0.6205,-62.9417
15:00,252,0.108656,0.4921,0.1997,27.3814
15:10,251,0.983966,0.5737,1.8543,246.9755
15:20,251,-0.191803,0.4980,-0.3485,-48.1425
15:30,252,-1.090649,0.4127,-2.5160,-274.8436
15:40,250,0.382235,0.5480,0.7771,95.5587
15:50,250,0.085139,0.4920,0.1514,21.2848
16:00,251,-0.445402,0.4741,-0.6868,-111.7959
