minute,n,mean_bps,hit_rate,t_stat,total_bps
09:35,1360,-0.260525,0.5074,-0.6903,-354.3136
09:40,1360,-0.056116,0.4949,-0.1696,-76.3174
09:45,1360,0.255248,0.5257,0.7038,347.1373
09:50,1360,-0.417668,0.4824,-1.1961,-568.0279
09:55,1359,0.845868,0.5276,2.7314,1149.5340
10:00,1360,0.079492,0.5169,0.2214,108.1091
10:05,1360,-0.369756,0.4926,-1.1440,-502.8686
10:10,1360,-0.421035,0.4868,-1.3285,-572.6076
10:15,1360,0.438791,0.5147,1.1863,596.7556
10:20,1360,0.278974,0.5368,0.9366,379.4049
10:25,1360,0.116948,0.5103,0.3706,159.0489
10:30,1360,-0.256503,0.5147,-0.9113,-348.8445
10:35,1360,-0.147808,0.5037,-0.5332,-201.0193
10:40,1360,-0.048848,0.5074,-0.1855,-66.4334
10:45,1360,0.369917,0.5206,1.3642,503.0865
10:50,1360,-0.343973,0.4875,-1.2947,-467.8032
10:55,1360,-0.036191,0.5007,-0.1426,-49.2200
11:00,1360,0.276844,0.5199,1.1096,376.5077
11:05,1360,-0.226057,0.4956,-0.8871,-307.4379
11:10,1360,0.289887,0.5000,1.1983,394.2460
11:15,1360,-0.019989,0.5051,-0.0742,-27.1846
11:20,1360,0.305087,0.5154,1.1968,414.9183
11:25,1360,-0.195940,0.5007,-0.8094,-266.4789
11:30,1359,0.032288,0.5077,0.1429,43.8799
11:35,1360,0.189143,0.5132,0.8558,257.2343
11:40,1360,0.133701,0.5081,0.5553,181.8338
11:45,1360,0.046591,0.5213,0.2066,63.3638
11:50,1360,0.027975,0.5066,0.1342,38.0458
11:55,1360,0.206569,0.5338,0.9890,280.9344
12:00,1360,-0.311994,0.4882,-1.4320,-424.3125
12:05,1360,-0.178681,0.5007,-0.8499,-243.0065
12:10,1360,-0.198579,0.5176,-0.9069,-270.0674
12:15,1360,0.306322,0.5324,1.5242,416.5985
12:20,1360,-0.054973,0.4816,-0.2641,-74.7628
12:25,1360,0.052253,0.5000,0.2503,71.0647
12:30,1360,0.006093,0.5096,0.0297,8.2860
12:35,1360,0.388025,0.5265,1.8834,527.7145
12:40,1360,-0.080366,0.4963,-0.3900,-109.2977
12:45,1360,-0.320427,0.4934,-1.5444,-435.7805
12:50,1360,-0.121227,0.5088,-0.5963,-164.8688
12:55,1360,0.114479,0.5324,0.6087,155.6919
13:00,1360,0.030277,0.5059,0.1496,41.1761
13:05,1360,-0.246365,0.4926,-1.0704,-335.0565
13:10,1360,0.257578,0.5081,1.1846,350.3066
13:15,1360,0.159591,0.5331,0.7983,217.0436
13:20,1360,-0.169137,0.4706,-0.5252,-230.0266
13:25,1360,0.092279,0.4860,0.4218,125.4995
13:30,1359,0.359780,0.5600,1.6205,488.9413
13:35,1360,0.099250,0.5199,0.4174,134.9795
13:40,1360,0.566431,0.5353,2.4247,770.3460
13:45,1358,-0.341800,0.4823,-1.7390,-464.1645
13:50,1360,0.082896,0.5162,0.3934,112.7387
13:55,1360,-0.114689,0.4904,-0.6144,-155.9772
14:00,1359,0.343122,0.5018,1.3409,466.3024
14:05,1360,-0.228071,0.5176,-0.8987,-310.1767
14:10,1357,-0.177304,0.5018,-0.8004,-240.6009
14:15,1357,-0.107797,0.5048,-0.4928,-146.2811
14:20,1360,0.191285,0.5103,0.9665,260.1474
14:25,1357,0.018271,0.4908,0.0814,24.7942
14:30,1356,0.386298,0.5354,1.8039,523.8207
14:35,1357,0.017130,0.5114,0.0726,23.2456
14:40,1357,0.552554,0.5239,2.0777,749.8159
14:45,1359,0.084798,0.4886,0.3223,115.2401
14:50,1355,-0.145706,0.5055,-0.6131,-197.4311
14:55,1357,0.406973,0.5284,1.7241,552.2623
15:00,1356,0.254293,0.5022,1.1323,344.8212
15:05,1356,-0.089019,0.5118,-0.3750,-120.7094
15:10,1355,-0.043703,0.5063,-0.1856,-59.2170
15:15,1354,-0.080041,0.5037,-0.3530,-108.3756
15:20,1355,0.221216,0.5225,0.9734,299.7475
15:25,1356,-0.151903,0.4882,-0.6979,-205.9805
15:30,1358,-0.444777,0.4698,-1.9701,-604.0065
15:35,1354,-0.195302,0.4993,-0.7669,-264.4396
15:40,1355,-0.086411,0.4937,-0.3656,-117.0874
15:45,1357,-0.226251,0.4775,-0.9291,-307.0224
15:50,1355,0.023726,0.5122,0.0760,32.1482
15:55,1358,-0.371298,0.4794,-1.2402,-504.2232
16:00,1357,0.454876,0.5122,1.5289,617.2661
