minute,n,mean_bps,hit_rate,t_stat,total_bps
09:35,252,0.326052,0.4921,0.4581,82.1651
09:40,252,0.334316,0.4841,0.6083,84.2477
09:45,252,-0.206190,0.5198,-0.2932,-51.9598
09:50,252,0.076507,0.5159,0.1100,19.2799
09:55,252,1.056502,0.5159,1.7191,266.2384
10:00,252,0.064415,0.5198,0.0926,16.2325
10:05,252,0.070870,0.5238,0.1240,17.8592
10:10,252,0.325024,0.4960,0.6213,81.9059
10:15,252,0.305450,0.5278,0.5138,76.9734
10:20,252,1.023257,0.5635,2.0944,257.8609
10:25,252,-0.908585,0.4325,-1.6503,-228.9633
10:30,252,0.156064,0.5397,0.2907,39.3282
10:35,252,0.071628,0.5119,0.1207,18.0502
10:40,252,0.488778,0.5079,1.0081,123.1720
10:45,252,0.098933,0.5198,0.1999,24.9310
10:50,252,-1.528416,0.4127,-3.2903,-385.1608
10:55,252,0.685682,0.5357,1.2715,172.7920
11:00,252,0.220957,0.5159,0.3898,55.6813
11:05,252,-0.439105,0.4762,-0.8974,-110.6546
11:10,252,-0.031022,0.4802,-0.0700,-7.8176
11:15,252,0.432572,0.5159,0.9309,109.0081
11:20,252,-0.435187,0.5159,-0.8446,-109.6672
11:25,252,0.002833,0.5079,0.0063,0.7140
11:30,252,-0.160676,0.4802,-0.3585,-40.4904
11:35,252,-0.005677,0.4841,-0.0139,-1.4306
11:40,252,0.018849,0.5079,0.0437,4.7501
11:45,252,0.578063,0.5397,1.3679,145.6719
11:50,252,0.361519,0.5397,0.9824,91.1029
11:55,252,0.462803,0.5754,1.0491,116.6263
12:00,252,-0.471508,0.4643,-1.2113,-118.8200
12:05,252,0.391781,0.5476,1.1191,98.7289
12:10,252,-0.651825,0.4683,-1.6877,-164.2599
12:15,252,0.439054,0.5595,1.2244,110.6417
12:20,252,-0.039860,0.4802,-0.1033,-10.0447
12:25,252,0.550150,0.5198,1.3551,138.6378
12:30,252,-0.592355,0.5278,-1.3951,-149.2735
12:35,252,-0.111207,0.4921,-0.2553,-28.0242
12:40,252,0.095251,0.4563,0.1887,24.0033
12:45,252,-0.064961,0.5278,-0.1638,-16.3702
12:50,252,-0.176211,0.5198,-0.4466,-44.4052
12:55,252,-0.000139,0.5278,-0.0004,-0.0351
13:00,252,-0.319737,0.5000,-0.8692,-80.5737
13:05,252,-0.468623,0.5119,-1.0792,-118.0931
13:10,252,0.444649,0.5159,1.3399,112.0516
13:15,252,-0.282593,0.4802,-0.7707,-71.2135
13:20,252,-0.468665,0.4524,-1.3326,-118.1037
13:25,252,0.696960,0.5437,1.9226,175.6339
13:30,252,0.744128,0.5833,2.3298,187.5201
13:35,252,0.353171,0.5198,0.8711,88.9992
13:40,252,0.246723,0.5317,0.6092,62.1741
13:45,252,-0.335897,0.4722,-0.9474,-84.6461
13:50,252,0.000743,0.5317,0.0019,0.1872
13:55,252,0.028504,0.4762,0.0752,7.1830
14:00,252,0.429656,0.5040,1.2478,108.2733
14:05,252,-0.387498,0.5198,-1.0064,-97.6496
14:10,251,-0.339827,0.4661,-1.0236,-85.2966
14:15,252,-0.050425,0.5198,-0.1336,-12.7072
14:20,252,0.300087,0.5357,0.8528,75.6220
14:25,252,0.161503,0.4960,0.5098,40.6988
14:30,252,0.160139,0.5040,0.3716,40.3550
14:35,252,0.422582,0.5317,1.1436,106.4905
14:40,251,-0.601108,0.4741,-1.5121,-150.8780
14:45,252,-0.375743,0.4603,-1.1535,-94.6873
14:50,252,0.128858,0.4960,0.4317,32.4723
14:55,252,-0.023097,0.5238,-0.0589,-5.8204
15:00,252,0.131753,0.4921,0.3479,33.2017
15:05,251,0.456748,0.5219,1.2347,114.6439
15:10,251,0.527218,0.5339,1.4214,132.3316
15:15,251,-0.492921,0.4661,-1.4417,-123.7231
15:20,251,0.301761,0.5299,0.7428,75.7420
15:25,252,-0.776861,0.4325,-2.3756,-195.7690
15:30,252,-0.314429,0.4365,-1.0144,-79.2361
15:35,251,-0.264330,0.4821,-0.7331,-66.3468
15:40,250,0.649387,0.5280,1.8624,162.3468
15:45,252,-0.299787,0.4444,-0.7505,-75.5464
15:50,250,0.381448,0.5320,0.9084,95.3619
15:55,252,-0.293201,0.4881,-0.6804,-73.8866
16:00,251,-0.154010,0.4741,-0.2926,-38.6564
