minute,n,mean_bps,hit_rate,t_stat,total_bps
09:40,7,0.210486,0.2857,0.0508,1.4734
09:50,7,0.132447,0.7143,0.0250,0.9271
10:00,7,3.659372,0.7143,1.0553,25.6156
10:10,7,1.378451,0.5714,0.5403,9.6492
10:20,7,5.556339,0.7143,1.1695,38.8944
10:30,7,-1.336804,0.2857,-0.8431,-9.3576
10:40,7,-0.150758,0.4286,-0.0468,-1.0553
10:50,7,-2.739325,0.4286,-0.9141,-19.1753
11:00,7,1.403782,0.5714,0.4370,9.8265
11:10,7,3.624658,0.8571,1.4224,25.3726
11:20,7,-2.742315,0.4286,-1.2326,-19.1962
11:30,7,3.296487,0.7143,1.2872,23.0754
11:40,7,-2.148731,0.5714,-0.9053,-15.0411
11:50,7,-3.336532,0.1429,-1.9641,-23.3557
12:00,7,-0.264263,0.2857,-0.3306,-1.8498
12:10,7,1.190117,0.5714,0.4594,8.3308
12:20,7,-1.195018,0.2857,-0.6099,-8.3651
12:30,7,1.151170,0.5714,0.6829,8.0582
12:40,7,2.109777,0.4286,0.7176,14.7684
12:50,7,0.744649,0.5714,0.2964,5.2125
13:00,7,1.562831,0.7143,0.6671,10.9398
13:10,7,-5.132174,0.0000,-2.6527,-35.9252
13:20,7,-0.533152,0.2857,-0.2602,-3.7321
13:30,7,0.191293,0.2857,0.0921,1.3391
13:40,7,1.877431,0.7143,1.0471,13.1420
13:50,6,4.544408,0.8333,2.1529,27.2664
14:00,6,-3.793844,0.0000,-2.7221,-22.7631
14:10,6,4.005210,1.0000,2.9873,24.0313
14:20,6,1.301303,0.6667,0.9053,7.8078
14:30,6,3.151925,0.8333,2.4880,18.9116
14:40,6,-2.608307,0.1667,-2.4489,-15.6498
14:50,6,-1.803042,0.3333,-1.0104,-10.8183
15:00,6,-2.340084,0.1667,-1.8841,-14.0405
15:10,6,5.105490,1.0000,3.5531,30.6329
15:20,6,-0.645075,0.1667,-1.0983,-3.8704
15:30,6,3.174331,0.8333,1.6458,19.0460
15:40,6,1.425852,0.6667,0.7085,8.5551
15:50,6,-2.601097,0.3333,-1.4845,-15.6066
