rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
minute=13:30,163,1.101795,0.5890,1.7619,89,2.062489,0.5955,2.3788,1.884209,183.5616
dow=Tue + midday=True,612,0.497962,0.5359,1.5454,342,1.148450,0.5292,2.0851,0.970169,392.7699
dow=Mon,1248,0.319549,0.5208,1.5797,624,0.582394,0.5096,1.3158,0.404113,363.4136
minute=15:30,163,-1.088598,0.4172,-2.2239,89,-1.094406,0.4045,-1.2991,-1.272686,-97.4021
dow=Tue + hour=12:00,204,0.941502,0.5735,1.6708,114,1.123389,0.5263,1.1899,0.945108,128.0663
bucket_30m=10:00,489,0.923808,0.5378,1.8458,267,0.993739,0.5468,1.0348,0.815458,265.3283
