rule,train_n,train_mean_bps,train_hit_rate,train_t,test_n,test_mean_bps,test_hit_rate,test_t,test_lift_vs_baseline_bps,test_total_bps
minute=15:25,163,-0.515472,0.4479,-1.5161,89,-1.255585,0.4045,-1.8317,-1.344726,-111.7471
minute=13:30,163,0.668089,0.5706,1.6426,89,0.883388,0.6067,1.7134,0.794248,78.6216
minute=10:50,163,-1.635214,0.4294,-3.0355,89,-1.332820,0.3820,-1.5252,-1.421961,-118.6210
dow=Mon,2496,0.159774,0.5120,1.5504,1248,0.291197,0.4992,1.3152,0.202056,363.4136
bucket_30m=12:00 + dow=Tue,204,0.583662,0.5686,1.5955,114,0.792966,0.5439,1.2990,0.703826,90.3981
